,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-07 13:00:00,4857.989877458815,20.0,14.0,4857.989877458815,0.0
2009-12-07 14:00:00,4734.775242374532,20.0,14.0,4734.775242374532,0.0
2009-12-07 15:00:00,4418.214575084601,19.999999999999996,16.0,4418.214575084601,0.0
2009-12-07 16:00:00,4309.233624023998,19.999999999999996,16.0,4309.233624023998,0.0
2009-12-07 17:00:00,4335.235003914213,20.0,15.0,4335.235003914213,0.0
2009-12-07 18:00:00,4139.375462256976,20.0,16.2,4139.375462256976,0.0
2009-12-07 19:00:00,4323.959601423378,20.0,14.0,4323.959601423378,0.0
2009-12-07 20:00:00,4402.042776969536,20.000000000000007,13.0,4402.042776969536,0.0
2009-12-07 21:00:00,3795.2137349964964,20.0,14.0,3795.2137349964964,0.0
2009-12-07 22:00:00,3764.2946533616405,20.0,14.0,3764.2946533616405,0.0
2009-12-07 23:00:00,0.0,18.519495877342038,13.0,0.0,0.0
2009-12-08 00:00:00,0.0,18.198833700520296,14.6,0.0,0.0
2009-12-08 01:00:00,0.0,18.068151051374805,13.0,0.0,0.0
2009-12-08 02:00:00,0.0,17.991345190117944,13.0,0.0,0.0
2009-12-08 03:00:00,0.0,17.977988786823097,15.0,0.0,0.0
2009-12-08 04:00:00,0.0,17.906792521267736,13.0,0.0,0.0
2009-12-08 05:00:00,5487.14079371659,20.0,13.0,5487.14079371659,0.0
2009-12-08 06:00:00,4266.245898786965,20.0,13.6,4266.245898786965,0.0
2009-12-08 07:00:00,4786.522344091174,19.999999999999993,13.0,4786.522344091174,0.0
2009-12-08 08:00:00,4756.197258611697,20.0,13.0,4756.197258611697,0.0
2009-12-08 09:00:00,4684.114192563172,20.0,13.6,4684.114192563172,0.0
2009-12-08 10:00:00,4577.817083108048,20.0,14.0,4577.817083108048,0.0
2009-12-08 11:00:00,4357.768379741292,19.999999999999996,15.0,4357.768379741292,0.0
2009-12-08 12:00:00,3968.163850297452,20.000000000000007,17.4,3968.163850297452,0.0
2009-12-08 13:00:00,3866.885504889663,20.0,17.0,3866.885504889663,0.0
2009-12-08 14:00:00,3726.5889167259747,20.0,17.0,3726.5889167259747,0.0
2009-12-08 15:00:00,3369.410025152794,20.0,19.2,3369.410025152794,0.0
2009-12-08 16:00:00,3377.6221033348374,20.0,18.0,3377.6221033348374,0.0
2009-12-08 17:00:00,3283.6267296757683,20.000000000000004,18.0,3283.6267296757683,0.0
2009-12-08 18:00:00,3189.542995797176,19.999999999999996,18.2,3189.542995797176,0.0
2009-12-08 19:00:00,3369.8723080517943,20.0,16.0,3369.8723080517943,0.0
2009-12-08 20:00:00,3333.470114663235,19.999999999999996,16.0,3333.470114663235,0.0
2009-12-08 21:00:00,2898.50033336966,20.000000000000007,17.4,2898.50033336966,0.0
2009-12-08 22:00:00,2973.8606753609456,20.0,15.0,2973.8606753609456,0.0
2009-12-08 23:00:00,0.0,18.86632495204072,16.0,0.0,0.0
2009-12-09 00:00:00,0.0,18.618752390915194,17.0,0.0,0.0
2009-12-09 01:00:00,0.0,18.52805787293812,16.0,0.0,0.0
2009-12-09 02:00:00,0.0,18.446812865779833,14.0,0.0,0.0
2009-12-09 03:00:00,0.0,18.426098461134508,15.4,0.0,0.0
2009-12-09 04:00:00,0.0,18.34494272835205,13.0,0.0,0.0
2009-12-09 05:00:00,4792.3363191058415,20.0,14.0,4792.3363191058415,0.0
2009-12-09 06:00:00,3819.512479878975,20.0,15.2,3819.512479878975,0.0
2009-12-09 07:00:00,4023.7824031512314,20.0,13.0,4023.7824031512314,0.0
2009-12-09 08:00:00,4023.1318627884443,20.0,13.0,4023.1318627884443,0.0
2009-12-09 09:00:00,4008.463337380974,20.0,14.0,4008.463337380974,0.0
2009-12-09 10:00:00,4025.934103977562,20.0,13.0,4025.934103977562,0.0
2009-12-09 11:00:00,3594.838751847171,20.0,16.0,3594.838751847171,0.0
2009-12-09 12:00:00,3142.4786607972396,20.0,19.0,3142.4786607972396,0.0
2009-12-09 13:00:00,3197.520252291392,20.0,17.0,3197.520252291392,0.0
2009-12-09 14:00:00,2965.922744416017,20.000000000000007,18.0,2965.922744416017,0.0
2009-12-09 15:00:00,2682.69871655892,20.0,19.8,2682.69871655892,0.0
2009-12-09 16:00:00,2727.442645131609,20.0,18.0,2727.442645131609,0.0
2009-12-09 17:00:00,2661.179013276331,20.0,18.0,2661.179013276331,0.0
2009-12-09 18:00:00,2527.5206004847123,20.0,18.8,2527.5206004847123,0.0
2009-12-09 19:00:00,2629.3800598587914,20.0,17.0,2629.3800598587914,0.0
2009-12-09 20:00:00,2717.824975731909,20.0,16.0,2717.824975731909,0.0
2009-12-09 21:00:00,2574.5488123173486,20.0,17.2,2574.5488123173486,0.0
2009-12-09 22:00:00,2799.5772478817607,20.0,15.0,2799.5772478817607,0.0
2009-12-09 23:00:00,0.0,19.033308897261175,14.0,0.0,0.0
2009-12-10 00:00:00,0.0,18.812934274856183,15.2,0.0,0.0
2009-12-10 01:00:00,0.0,18.689603951645342,13.0,0.0,0.0
2009-12-10 02:00:00,0.0,18.623187722920207,13.0,0.0,0.0
2009-12-10 03:00:00,0.0,18.594817062289806,14.4,0.0,0.0
